B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,NDVI,EVI,MSAVI,NDRE,FCI,aspect,slope,wetnessindex,sink,ASM1,ASM2,contrast1,contrast2,correlation1,correlation2,dissimilarity1,dissimilarity2,energy1,energy2,homogeneity1,homogeneity2,key,class
0.11465,0.0881,0.0758,0.0503,0.0767,0.21965,0.27105,0.2478,0.29765,0.07505,0.1229,0.0489,0.662529352566253,0.3607912197118055,0.3425780361332816,0.5272727272727272,0.1116438086057619,270.0,0.0,0.0,20259.0,4532.71597633136,67.29585798816568,0.1658555372711039,0.4072536522501719,67.29585798816568,0.0,1.0,0.1658555372711039,0.000221368948921,4532.71597633136,0.4072536522501719,1.0,4,5
0.11465,0.09105,0.0777,0.05375,0.0767,0.21965,0.27105,0.26765,0.29765,0.07505,0.1229,0.0489,0.6655258245177349,0.3828804639673505,0.3657961428578793,0.5545230143749093,0.1199424341090341,270.0,0.0,0.0,20259.0,4535.8520710059165,67.31952662721893,0.1677462273729911,0.4095683427378038,67.31952662721893,0.0,1.0,0.1677462273729911,0.0002212053891329,4535.8520710059165,0.4095683427378038,1.0,4,5
0.11425,0.0877,0.07485,0.0488,0.07445,0.20745,0.26565,0.24595,0.2863,0.07665,0.1184,0.0463,0.6688719253604749,0.3615918478141254,0.3432821436965697,0.5352684144818975,0.1095552828484322,270.0,0.0,0.0,20259.0,4505.775147928994,67.08875739644971,0.1515703231679563,0.38932033490168,67.08875739644971,0.0,1.0,0.1515703231679563,0.0002228831893865,4505.775147928994,0.38932033490168,1.0,4,5
0.11465,0.08905,0.0779,0.0497,0.0767,0.21965,0.27105,0.26255,0.29765,0.07505,0.1229,0.0489,0.6816653322658126,0.3850871670176506,0.3678570782240958,0.5478260869565218,0.1142310596991904,270.0,0.0,0.0,20259.0,4509.733727810651,67.11834319526628,0.151010118693323,0.3886002041858998,67.11834319526628,0.0,1.0,0.151010118693323,0.0002226847271968,4509.733727810651,0.3886002041858998,1.0,4,5
0.11465,0.08995,0.0777,0.05185,0.0767,0.21965,0.27105,0.27835,0.29765,0.07505,0.1229,0.0489,0.6859479103573591,0.4036598493003229,0.3874168567389047,0.5679481763131954,0.1201351218420325,270.0,0.0,0.0,20259.0,4517.449704142012,67.1775147928994,0.1552816778124015,0.3940579625034895,67.1775147928994,0.0,1.0,0.1552816778124015,0.0002222548603744,4517.449704142012,0.3940579625034895,1.0,4,5
0.11465,0.0903,0.07825,0.05055,0.0752,0.21195,0.2747,0.27535,0.29175,0.07505,0.1168,0.0458,0.6897821417612765,0.402385674497197,0.3860331335531428,0.5709599201255171,0.1179785679689323,270.0,0.0,0.0,20259.0,4480.372781065089,66.89349112426035,0.137005006827492,0.3701418739179505,66.89349112426035,0.0,1.0,0.137005006827492,0.0002243046104027,4480.372781065089,0.3701418739179505,1.0,4,5
0.11465,0.0891,0.07605,0.0511,0.0752,0.21195,0.2747,0.2779,0.29175,0.07505,0.1168,0.0458,0.6893617021276596,0.4048438459451354,0.3886334974596451,0.5740583404134806,0.1191666480186465,270.0,0.0,0.0,20259.0,4485.834319526627,66.93491124260355,0.1406463359126081,0.3750284468045166,66.93491124260355,0.0,1.0,0.1406463359126081,0.0002240134870126,4485.834319526627,0.3750284468045166,1.0,4,5
0.11255,0.0865,0.0723,0.0526,0.0799,0.1789,0.212,0.20255,0.22805,0.0815,0.12105,0.05225,0.5876935136194396,0.2821175656047983,0.2624630739274342,0.4342361479907949,0.1032188451785816,270.0,0.0,0.0,42401.0,4439.2307692307695,66.59171597633136,0.1414866426245579,0.3761471023742678,66.59763313609467,0.0,1.0,0.1418367704212037,0.000226164985843,4440.005917159763,0.3766122281886286,1.0,5,7
0.11245,0.08565,0.07055,0.0511,0.07745,0.1741,0.2057,0.19515,0.21785,0.0759,0.11815,0.05215,0.58497461928934,0.2732795058393218,0.2534107980946223,0.4317681584739544,0.0998607280165731,270.0,0.0,0.0,42401.0,4408.337278106508,66.36094674556212,0.1434473582857742,0.3787444498415445,66.36686390532543,0.0,1.0,0.1437274605230908,0.0002277160910021,4409.112426035503,0.3791140468554164,1.0,5,7
0.11245,0.0858,0.07155,0.05445,0.07745,0.1741,0.2057,0.20355,0.21785,0.0759,0.11815,0.05215,0.5779069767441861,0.2793746205676682,0.2599481486738361,0.4487544483985764,0.1052772411302652,270.0,0.0,0.0,42401.0,4408.289940828403,66.36094674556213,0.1456881761843073,0.3816912052750328,66.36686390532545,0.0,1.0,0.1461083295402822,0.0002277054025543,4409.0650887573975,0.382241192887792,1.0,5,7
